Interval, Ratio
595000, 0.375593
596000, 0.375615
597000, 0.375581
598000, 0.375572
599000, 0.375530
600000, 0.375563
601000, 0.375572
602000, 0.375543
603000, 0.375519
604000, 0.375529
605000, 0.375520
606000, 0.375505
607000, 0.375584
608000, 0.375558
609000, 0.375653
610000, 0.375552
611000, 0.375643
612000, 0.375630
613000, 0.375519
614000, 0.375506
615000, 0.375493
616000, 0.375569
617000, 0.375451
618000, 0.375305
619000, 0.375302
620000, 0.375294
621000, 0.375217
622000, 0.375330
623000, 0.375374
624000, 0.375292
625000, 0.375169
626000, 0.375113
627000, 0.375088
628000, 0.375044
629000, 0.375090
630000, 0.375185
631000, 0.375280
632000, 0.375233
633000, 0.375293
634000, 0.375249
635000, 0.375370
636000, 0.375191
637000, 0.375280
638000, 0.375245
639000, 0.375281
640000, 0.375242
641000, 0.375225
642000, 0.375213
643000, 0.375184
644000, 0.375160
645000, 0.375155
646000, 0.375152
647000, 0.375176
648000, 0.375183
649000, 0.375194
650000, 0.375109
651000, 0.375149
652000, 0.375210
653000, 0.375231
654000, 0.375233
655000, 0.375322
656000, 0.375277
657000, 0.375284
658000, 0.375353
659000, 0.375304
660000, 0.375296
661000, 0.375312
662000, 0.375270
663000, 0.375218
664000, 0.375146
665000, 0.375148
666000, 0.375095
667000, 0.375106
668000, 0.375222
669000, 0.375207
670000, 0.375193
671000, 0.375191
672000, 0.375218
673000, 0.375227
674000, 0.375247
675000, 0.375258
676000, 0.375310
677000, 0.375351
678000, 0.375303
679000, 0.375380
680000, 0.375304
681000, 0.375229
682000, 0.375441
683000, 0.375409
684000, 0.375494
685000, 0.375530
686000, 0.375462
687000, 0.375430
688000, 0.375451
689000, 0.375294
690000, 0.375246
691000, 0.375255
692000, 0.375226
693000, 0.375281
694000, 0.375238
695000, 0.375176
696000, 0.375196
697000, 0.375153
698000, 0.375160
699000, 0.375173
700000, 0.375049
701000, 0.374993
702000, 0.375000
703000, 0.375081
704000, 0.375141
705000, 0.375235
706000, 0.375138
707000, 0.375055
708000, 0.374954
709000, 0.375044
710000, 0.375063
711000, 0.375076
712000, 0.375137
713000, 0.375067
714000, 0.375095
715000, 0.375048
716000, 0.375063
717000, 0.375134
718000, 0.374989
719000, 0.374953
720000, 0.374922
721000, 0.375022
722000, 0.374955
723000, 0.374931
724000, 0.374893
725000, 0.374976
726000, 0.374944
727000, 0.375055
728000, 0.375036
729000, 0.374977
730000, 0.374957
731000, 0.375062
732000, 0.375036
733000, 0.375008
734000, 0.374871
735000, 0.374977
736000, 0.374814
737000, 0.374800
738000, 0.374829
739000, 0.374842
740000, 0.374752
741000, 0.374717
742000, 0.374537
743000, 0.374649
744000, 0.374664
745000, 0.374731
746000, 0.374712
747000, 0.374671
748000, 0.374611
749000, 0.374636
750000, 0.374736
751000, 0.374745
752000, 0.374714
753000, 0.374742
754000, 0.374798
755000, 0.374845
756000, 0.374743
757000, 0.374763
758000, 0.374871
759000, 0.374811
760000, 0.374863
761000, 0.374832
762000, 0.374865
763000, 0.374890
764000, 0.374847
765000, 0.374912
766000, 0.375031
767000, 0.375026
768000, 0.374921
769000, 0.374939
770000, 0.374943
771000, 0.374994
772000, 0.375105
773000, 0.375165
774000, 0.375189
775000, 0.375141
776000, 0.375171
777000, 0.375102
778000, 0.375158
779000, 0.375136
780000, 0.375190
781000, 0.375170
782000, 0.375094
783000, 0.375181
784000, 0.375227
785000, 0.375241
786000, 0.375226
787000, 0.375302
788000, 0.375280
789000, 0.375327
790000, 0.375398
791000, 0.375440
792000, 0.375399
793000, 0.375386
794000, 0.375360
795000, 0.375338
796000, 0.375344
797000, 0.375377
798000, 0.375392
799000, 0.375382
800000, 0.375403
801000, 0.375388
802000, 0.375345
803000, 0.375341
804000, 0.375389
805000, 0.375385
806000, 0.375452
807000, 0.375491
808000, 0.375548
809000, 0.375519
810000, 0.375560
811000, 0.375540
812000, 0.375571
813000, 0.375510
814000, 0.375510
815000, 0.375644
816000, 0.375706
817000, 0.375673
818000, 0.375594
819000, 0.375651
820000, 0.375694
821000, 0.375477
822000, 0.375461
823000, 0.375423
824000, 0.375434
825000, 0.375469
826000, 0.375387
827000, 0.375368
828000, 0.375384
829000, 0.375356
830000, 0.375317
831000, 0.375325
832000, 0.375375
833000, 0.375333
834000, 0.375416
835000, 0.375549
836000, 0.375527
837000, 0.375622
838000, 0.375652
839000, 0.375651
840000, 0.375637
841000, 0.375722
842000, 0.375813
843000, 0.375780
844000, 0.375832
845000, 0.375693
846000, 0.375674
847000, 0.375705
848000, 0.375735
849000, 0.375703
850000, 0.375695
851000, 0.375735
852000, 0.375692
853000, 0.375621
854000, 0.375565
855000, 0.375467
856000, 0.375461
857000, 0.375369
858000, 0.375332
859000, 0.375436
860000, 0.375368
861000, 0.375413
862000, 0.375372
863000, 0.375370
864000, 0.375290
865000, 0.375318
866000, 0.375376
867000, 0.375296
868000, 0.375306
869000, 0.375379
870000, 0.375416
871000, 0.375392
872000, 0.375381
873000, 0.375344
874000, 0.375440
875000, 0.375466
876000, 0.375451
877000, 0.375492
878000, 0.375475
879000, 0.375457
880000, 0.375498
881000, 0.375597
882000, 0.375556
883000, 0.375584
884000, 0.375606
885000, 0.375636
886000, 0.375651
887000, 0.375700
888000, 0.375719
889000, 0.375777
890000, 0.375840
891000, 0.375761
892000, 0.375746
893000, 0.375634
894000, 0.375591
895000, 0.375523
896000, 0.375495
897000, 0.375537
898000, 0.375689
899000, 0.375611
900000, 0.375682
901000, 0.375685
902000, 0.375735
903000, 0.375703
904000, 0.375638
905000, 0.375604
906000, 0.375530
907000, 0.375543
908000, 0.375571
909000, 0.375575
910000, 0.375564
911000, 0.375588
912000, 0.375568
913000, 0.375531
914000, 0.375569
915000, 0.375577
916000, 0.375545
917000, 0.375586
918000, 0.375604
919000, 0.375588
920000, 0.375675
921000, 0.375592
922000, 0.375537
923000, 0.375509
924000, 0.375490
925000, 0.375414
926000, 0.375509
927000, 0.375566
928000, 0.375557
929000, 0.375635
930000, 0.375703
931000, 0.375636
932000, 0.375596
933000, 0.375670
934000, 0.375649
935000, 0.375576
936000, 0.375582
937000, 0.375586
938000, 0.375564
939000, 0.375604
940000, 0.375637
941000, 0.375626
942000, 0.375496
943000, 0.375563
944000, 0.375569
945000, 0.375550
946000, 0.375593
947000, 0.375619
948000, 0.375662
949000, 0.375687
950000, 0.375657
951000, 0.375610
952000, 0.375673
953000, 0.375749
954000, 0.375677
955000, 0.375751
956000, 0.375757
957000, 0.375759
958000, 0.375734
959000, 0.375748
960000, 0.375683
961000, 0.375755
962000, 0.375754
963000, 0.375758
964000, 0.375761
965000, 0.375803
966000, 0.375799
967000, 0.375846
968000, 0.375809
969000, 0.375754
970000, 0.375722
971000, 0.375767
972000, 0.375933
973000, 0.375948
974000, 0.375887
975000, 0.375836
976000, 0.375897
977000, 0.375821
978000, 0.375814
979000, 0.375709
980000, 0.375691
981000, 0.375650
982000, 0.375622
983000, 0.375683
984000, 0.375730
985000, 0.375739
986000, 0.375745
987000, 0.375751
988000, 0.375781
989000, 0.375785
990000, 0.375823
991000, 0.375801
992000, 0.375805
993000, 0.375877
994000, 0.375818
995000, 0.375827
996000, 0.375854
997000, 0.375829
998000, 0.375801
999000, 0.375829
1000000, 0.375811
1001000, 0.375783
1002000, 0.375822
1003000, 0.375854
1004000, 0.375853
1005000, 0.375896
1006000, 0.375928
1007000, 0.375917
1008000, 0.375910
1009000, 0.375965
1010000, 0.375950
1011000, 0.376040
1012000, 0.376011
1013000, 0.376033
1014000, 0.375956
1015000, 0.375997
1016000, 0.376024
1017000, 0.375948
1018000, 0.375885
1019000, 0.375993
1020000, 0.376046
1021000, 0.376024
1022000, 0.375952
1023000, 0.375913
1024000, 0.375897
1025000, 0.375868
1026000, 0.375939
1027000, 0.375896
1028000, 0.375844
1029000, 0.375834
1030000, 0.375844
1031000, 0.375823
1032000, 0.375721
1033000, 0.375757
1034000, 0.375767
1035000, 0.375788
1036000, 0.375766
1037000, 0.375676
1038000, 0.375683
1039000, 0.375716
1040000, 0.375765
1041000, 0.375888
1042000, 0.375829
1043000, 0.375825
1044000, 0.375771
1045000, 0.375784
1046000, 0.375735
1047000, 0.375717
1048000, 0.375592
1049000, 0.375582
1050000, 0.375586
1051000, 0.375570
1052000, 0.375626
1053000, 0.375624
1054000, 0.375719
1055000, 0.375690
1056000, 0.375674
1057000, 0.375632
1058000, 0.375550
1059000, 0.375520
1060000, 0.375584
1061000, 0.375568
1062000, 0.375532
1063000, 0.375494
1064000, 0.375391
1065000, 0.375404
1066000, 0.375396
1067000, 0.375422
1068000, 0.375429
1069000, 0.375472
1070000, 0.375513
1071000, 0.375599
1072000, 0.375633
1073000, 0.375621
1074000, 0.375610
1075000, 0.375584
1076000, 0.375497
1077000, 0.375507
1078000, 0.375609
1079000, 0.375600
1080000, 0.375619
1081000, 0.375633
1082000, 0.375625
1083000, 0.375618
1084000, 0.375613
1085000, 0.375676
1086000, 0.375714
1087000, 0.375736
1088000, 0.375791
1089000, 0.375735
1090000, 0.375793
1091000, 0.375783
1092000, 0.375846
1093000, 0.375898
1094000, 0.375846
1095000, 0.375756
1096000, 0.375743
1097000, 0.375737
1098000, 0.375760
1099000, 0.375753
1100000, 0.375766
1101000, 0.375726
1102000, 0.375683
1103000, 0.375703
1104000, 0.375685
1105000, 0.375651
1106000, 0.375667
1107000, 0.375712
1108000, 0.375663
1109000, 0.375719
1110000, 0.375805
1111000, 0.375799
1112000, 0.375801
1113000, 0.375796
1114000, 0.375790
1115000, 0.375743
1116000, 0.375722
1117000, 0.375696
1118000, 0.375699
1119000, 0.375722
1120000, 0.375690
1121000, 0.375646
1122000, 0.375630
1123000, 0.375618
1124000, 0.375627
1125000, 0.375591
1126000, 0.375621
1127000, 0.375550
1128000, 0.375544
1129000, 0.375616
1130000, 0.375590
1131000, 0.375587
1132000, 0.375545
1133000, 0.375526
1134000, 0.375495
1135000, 0.375476
1136000, 0.375474
1137000, 0.375526
1138000, 0.375516
1139000, 0.375507
1140000, 0.375583
1141000, 0.375626
1142000, 0.375554
1143000, 0.375562
1144000, 0.375613
1145000, 0.375607
1146000, 0.375538
1147000, 0.375523
1148000, 0.375555
1149000, 0.375584
1150000, 0.375550
1151000, 0.375517
1152000, 0.375549
1153000, 0.375533
1154000, 0.375544
1155000, 0.375574
1156000, 0.375651
1157000, 0.375642
1158000, 0.375598
1159000, 0.375596
1160000, 0.375601
1161000, 0.375598
1162000, 0.375564
1163000, 0.375571
1164000, 0.375595
1165000, 0.375655
1166000, 0.375673
1167000, 0.375658
1168000, 0.375632
1169000, 0.375589
1170000, 0.375627
1171000, 0.375621
1172000, 0.375639
1173000, 0.375731
1174000, 0.375735
1175000, 0.375794
1176000, 0.375822
1177000, 0.375834
1178000, 0.375797
1179000, 0.375809
1180000, 0.375827
1181000, 0.375824
1182000, 0.375836
1183000, 0.375865
1184000, 0.375783
1185000, 0.375716
1186000, 0.375653
1187000, 0.375649
1188000, 0.375605
1189000, 0.375572
1190000, 0.375553
1191000, 0.375536
1192000, 0.375528
1193000, 0.375534
1194000, 0.375572
1195000, 0.375467
1196000, 0.375452
1197000, 0.375403
1198000, 0.375478
1199000, 0.375489
1200000, 0.375534
1201000, 0.375577
1202000, 0.375582
1203000, 0.375573
1204000, 0.375594
1205000, 0.375552
1206000, 0.375554
1207000, 0.375573
1208000, 0.375493
1209000, 0.375504
1210000, 0.375493
1211000, 0.375434
1212000, 0.375443
1213000, 0.375366
1214000, 0.375371
1215000, 0.375355
1216000, 0.375343
1217000, 0.375300
1218000, 0.375385
1219000, 0.375377
1220000, 0.375415
1221000, 0.375409
1222000, 0.375429
1223000, 0.375426
1224000, 0.375427
1225000, 0.375470
1226000, 0.375460
1227000, 0.375490
1228000, 0.375491
1229000, 0.375469
1230000, 0.375423
1231000, 0.375419
1232000, 0.375441
1233000, 0.375453
1234000, 0.375498
1235000, 0.375414
1236000, 0.375456
1237000, 0.375461
1238000, 0.375472
1239000, 0.375510
1240000, 0.375522
1241000, 0.375527
1242000, 0.375460
1243000, 0.375406
1244000, 0.375337
1245000, 0.375401
1246000, 0.375394
1247000, 0.375362
1248000, 0.375383
1249000, 0.375398
1250000, 0.375358
1251000, 0.375324
1252000, 0.375323
1253000, 0.375325
1254000, 0.375229
1255000, 0.375263
1256000, 0.375240
1257000, 0.375269
1258000, 0.375197
1259000, 0.375210
1260000, 0.375279
1261000, 0.375271
1262000, 0.375247
1263000, 0.375287
1264000, 0.375286
1265000, 0.375360
1266000, 0.375298
1267000, 0.375333
1268000, 0.375348
1269000, 0.375359
1270000, 0.375377
1271000, 0.375334
1272000, 0.375315
1273000, 0.375315
1274000, 0.375331
1275000, 0.375305
1276000, 0.375253
1277000, 0.375219
1278000, 0.375251
1279000, 0.375236
1280000, 0.375158
1281000, 0.375138
1282000, 0.375175
1283000, 0.375168
1284000, 0.375231
1285000, 0.375240
1286000, 0.375251
1287000, 0.375207
1288000, 0.375198
1289000, 0.375185
1290000, 0.375170
1291000, 0.375190
1292000, 0.375192
1293000, 0.375208
